,treat_logFC_target,treat_logFC_NCS
193,DLG1,2.3139079089806525
194,JUN,2.2593438960763303
195,CDKN1A,2.6823009909057305
196,CD44,2.1516191014043713
197,ME1,1.9191411589431424
198,AK2,1.7431400828612622
199,AMPD3,1.8142051844102063
200,ADPGK,1.9217443794450717
201,AMPD2,1.830888081885068
202,PTK2,2.3545983710937524
203,GLUL,2.0756136356614325
204,LRRC7,2.308777307684101
205,NEFL,2.3271996540651134
206,NAGK,1.919143859096482
207,RUNX1,2.5905346134296114
208,ATF2,2.5295367032513787
209,NME6,1.823191339885638
210,PRKCZ,2.1070703954270145
211,FN1,2.446921017174509
212,VAV1,2.293434602223062
213,CASP3,2.095654410983982
214,HRAS,2.210890864001934
215,NFKB2,2.0009379080870318
216,NFATC3,2.0430497582523053
217,TAT,1.8217346909397594
218,NT5C1B,1.7991579302779426
219,RPA2,1.8551892968164432
220,EIF2S3,1.9151070731989888
221,EIF2S2,1.9158481930313678
222,PKM,1.928421374655663
223,DHCR24,2.040399198741108
224,RPA1,1.885673383528648
225,HIST2H2AC,2.399897400588527
226,PTPN11,2.1107167047416002
227,RPA3,1.9358151349130388
228,AKR1D1,1.967736307549787
229,PXN,2.12679733637224
230,IGF2,2.14975390287347
231,ALAS1,2.0639304553267226
232,AKAP1,2.1816864100938784
233,NFATC1,2.0481966149766473
234,ACTA2,2.261936976997177
235,IGHV3-11,2.2786700951866257
236,SLC12A2,2.023367138854601
237,PIP5K1A,2.054411795347644
238,HIST1H2AB,2.3425690435015696
239,HIST1H2AD,2.3425690435015696
240,HIST1H2AE,2.3425690435015696
241,HIST1H2AC,2.3425690435015696
242,HIST1H2AJ,2.3425690435015696
243,HIST2H2AA3,2.3425690435015696
244,HLA-E,1.9871062449851538
245,GPT,1.9222487387740075
246,PPP2R1A,2.2137747023113503
247,SLC27A5,1.945481103743231
248,ADH1B,1.8599051454527327
249,GNAS,1.855770142366591
250,AGXT,2.00289234052689
251,SLC3A2,2.223298104191409
252,PRKAB2,1.9079865027112468
253,PRKAA2,1.925174680598293
254,SREBF1,2.003453820000285
255,VAMP2,1.9366916357733053
256,ME2,1.8233435934792053
257,ME3,1.8500692171896431
258,SYK,2.250748492695034
259,PPP2CA,2.303600476237476
260,TRAF6,2.105524842898225
261,SMO,1.8900272288737725
262,SLC4A4,2.3542519700757385
263,GNAL,1.6881866175449276
264,CD80,2.2015659769133014
265,CD86,2.2015659769133014
266,GCK,2.1713909998025156
267,PRKAB1,1.953818884368444
268,AHCY,1.785060307487102
269,LYN,2.2771038498170606
270,PRKAG1,1.9234159414730816
271,PRKAG2,1.8783161608495074
272,ADH4,1.86744584967938
273,EGF,2.19867518764583
274,DVL3,2.180401906768258
275,PRKAA1,1.921909363924179
276,NRAS,2.156832647682457
277,CAD,1.8450933533293727
278,TNF,2.0224295832762214
279,ALDH6A1,1.9188232350296277
280,ALDH3A2,1.9696868551332656
281,HIST2H2BE,2.311717026791096
282,ABCC9,2.082511915532428
283,ENPP1,1.8646585331185241
284,PRKAG3,1.9234159414730816
285,HIST1H2BA,2.233860836063681
286,NME7,1.7274251738000026
287,HIST1H2BI,2.225335882626105
288,HIST1H2BB,2.225335882626105
289,HIST1H2BM,2.225335882626105
290,HIST1H2BC,2.225335882626105
291,HIST1H2BJ,2.225335882626105
292,HIST1H2BE,2.225335882626105
293,HIST1H2BF,2.225335882626105
294,HIST1H2BL,2.225335882626105
295,HIST1H2BN,2.225335882626105
296,HIST1H2BH,2.225335882626105
297,HIST1H2BO,2.225335882626105
298,HIST1H2BG,2.225335882626105
299,GLI3,2.3001228304714414
300,PIK3CG,2.2218934874227267
301,NT5C,1.9110430178731308
302,PPAT,1.7802260697718135
303,CCNB1,2.2331765358141773
304,PDZD11,2.6363002762032908
305,NOS3,1.9659865039298394
306,PIK3R2,2.1916800631575186
307,TCF7L2,2.424283458133244
308,HIST3H2BB,2.2519515248713198
309,POLR2H,2.0571441156671426
310,POLR2L,2.0535011651283015
311,POLR2E,2.0665791568908425
312,POLR2F,2.0639584769663184
313,NME5,1.6939409358647557
314,TLN1,2.132105017429837
315,ALKBH3,2.396674139601958
316,KRAS,2.2100386647459223
317,GNPDA2,1.9897701665378447
318,HDAC3,2.3276908144822213
319,POLR2K,2.1049882897695515
320,GPT2,1.9221328433299458
321,HDAC4,2.789165300325848
322,NME1,1.8038672955275432
323,PIP5K1B,2.116403210431851
324,POU5F1,2.0715464090131785
325,MMP1,2.011365067090138
326,RAC2,2.2497062979217994
327,CD3G,2.2576288179992536
328,PIK3CD,2.1696053486742177
329,TM7SF2,1.785751057110454
330,CPS1,2.0693698177748057
331,TBL1X,2.4869054424990336
332,TBL1XR1,2.4869054424990336
333,SUCLG2,2.0460263971077075
334,H2AFX,2.2523450454971825
335,RBX1,1.917511535575201
336,HSPA8,1.9060625342746362
337,PIP5K1C,2.133649440617096
338,FOS,2.480194611806124
339,PPARGC1A,2.420847890737432
340,FNTA,2.4457383608246004
341,TFDP1,2.268931166908579
342,MDH1,1.9082761432177127
343,INPP5D,2.254227783698461
344,GNAO1,2.092233118804206
345,PLD2,2.2575551600921537
346,EPRS,1.9319059611737563
347,NCK1,2.370508314604179
348,OR52B2,-3.34686539728997
349,AGL,4.07052994970637
350,CRKL,3.6804868688281296
351,HSPA4,-2.45285774460514
352,LTB4R2,-3.27551915491112
353,IL6ST,3.2441291739518197
354,B2M,-2.43682081222418
355,P4HA1,3.0132258782354104
356,FKBP3,3.85482175271461
357,FDXR,3.60944567896058
358,PMAIP1,2.8961020094566297
359,DUSP22,-2.4777363673783
360,RAB11A,-2.6821907078778797
361,OGDH,-4.388599803886479
362,LHX3,-3.6987620637863396
363,PPP3R1,-3.3820359653103598
364,NR0B2,3.0627905358286696
365,PPP4C,2.65896334184244
366,DYNLL2,2.7899054920113997
367,FAM114A2,-5.844449193927259
368,SPTLC1,2.6989456579263598
369,SCN4B,-3.93471154649334
370,METTL14,2.3961332646248503
371,DHX8,-3.93613194512626
372,ARHGEF11,-2.72471969585171
373,IGF1R,2.8018827722885495
374,NR5A1,3.50310578677988
375,SLC38A3,-4.16090767906097
376,CAMK2D,2.55134716411155
377,SP3,4.03966100049802
378,CAMK2A,4.1796163181870405
379,CYP3A4,4.23060144376735
380,ADRA1A,2.9912978439241202
381,KCNJ5,2.62348390934569
382,HCN3,-3.7083294707626804
383,MAF,-2.60246425913567
384,CTBP1,2.4424504837342402
385,NARFL,2.58714900977479
386,STK38L,2.54539740074127
