"","Model","XKA"
"DIDO1",0.395723633960436,0.451404713130384
"ODF4",-1.42448049377205,1.74634064620299
"PDLIM4",0.523136677219988,-1.76721637263064
"DNAJB6",-0.13203046481105,0.492934798264617
"CCDC88B",1.74259593326339,-2.09986838637297
"TUFM",0.312946959470047,-0.337728959356642
"FHIT",0.658316860058015,-0.649549246244209
"TSPAN3",0.496852713053945,-0.451140281905632
"ATP7B",-0.212253700321796,0.390143361229648
"GUCD1",0.358076755958538,-0.48230437767336
"SEC14L2",-0.21027289165208,-0.59159912418262
"ARRDC3",-0.799654989551292,-1.46289609842361
"RBPMS",0.216994246556683,-0.756917102415071
"AJUBA",0.39838417669979,-0.843282148024559
"TDRP",0.39806439142726,-0.577995626699867
"SEPT9",0.218088586443451,-0.734288965851976
"SLC16A1",0.0233650918278631,-0.655699907394184
"AQP8",1.18569926549176,-0.832064453330495
"HMGCS1",-1.93472576813428,-0.454394139924378
"PUS7L",-0.0917208224924565,0.518508260995737
"DCTN5",0.233823788167922,-0.531959592064467
"NEK2",1.00270562108114,-0.863441029491637
"C9orf142",-0.0908120460318337,-0.382632090660281
"TRMT6",0.0992837445647552,-0.573102719115016
"BPIFA1",-1.97374219880772,2.92757922738248
"RELL1",-0.294376980966863,-0.574000310371534
"NSMF",0.48465133076847,-0.795608903707867
"RHOBTB1",0.693518639287071,0.85053573149523
"ALDH1A3",0.202554394130899,1.54611895003677
"ZSWIM6",-0.145117989339089,-0.574610795394494
"PPARA",0.100213031534296,0.355990334975788
"POMC",-1.5691504993193,2.14699103403175
"SNF8",0.324261054064588,-0.362477007002658
"GHRH",1.87224347200188,-1.8850196564437
"CHIC2",-0.239556665456195,0.455165842660512
"SCAMP5",1.34445730704798,-0.385742707790294
"THADA",1.32695266439726,-1.63066121898455
"LRFN3",-0.301287618326808,-0.957205630528599
"ST5",0.742791996980091,-0.958084517526414
"CAPNS1",0.647395799076213,-0.346282259026153
"NAP1L2",0.705521839860631,-0.932167094784658
"PHF14",-0.213524746239672,0.462311506008378
"NCKAP5",2.07395322199555,-1.99587615550322
"TOP1MT",0.400083609258456,-0.553043180819012
"EGR2",1.92694361512754,-0.942624495714645
"ATAD3A",-0.311728426904903,0.352483571999945
"COQ10B",0.440652531076355,0.852636133238448
"MCM7",-0.20156408069274,-0.604791253707596
"ALG11",-0.0832606470432907,0.465513781331967
"SLC44A2",1.02321820949758,-0.53364571687231
"MAP1B",-1.99853702457699,2.33856343622469
"STOM",0.689595201024524,-0.478201339413843
"NHLRC2",-0.0756238258984289,0.358934570469123
"BNIP3",-0.483029502381259,0.572623170902394
"GPR137",0.441715739638272,-0.470081927221617
"SLC38A6",1.23122014091835,-0.452040459001733
"GAPDH",0.537478644027936,-0.41551803404207
"MORC3",-0.0984314842894688,0.557939364548592
"ARHGEF17",0.530845644881444,-0.698746533722021
"TMEM184C",0.597124564027193,-0.740873913013205
"AEN",1.17323507313462,-0.636336625855933
"KLHL13",-0.247788603231672,-0.450162458117272
"HOMER2",-0.404266778824769,0.956021465643731
"RAB27A",2.29591658545627,-1.39287439995096
"CLDN1",-0.278869744945066,-0.537591499955018
"CCDC85A",0.457429387117806,-0.727793091718341
"HN1",0.242198978931206,-0.487247412334724
